,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tuktoyaktuk,69.4541,-133.0374,-28.48,75,17,3.87,CA,1611975600
1,Busselton,-33.65,115.3333,80.56,47,0,6.53,AU,1611975600
2,Albany,42.6001,-73.9662,7.84,68,23,9.28,US,1611975600
3,Hermanus,-34.4187,19.2345,66.94,80,75,3.29,ZA,1611975600
4,Tanout,14.9709,8.8879,60.46,29,3,13.15,NE,1611975600
5,Port Alfred,-33.5906,26.891,65.46,83,4,6.93,ZA,1611975600
6,Klaksvík,62.2266,-6.589,35.76,73,87,14.34,FO,1611975600
7,Husavik,66.0449,-17.3389,26.31,75,75,9.91,IS,1611975600
8,Hobart,-42.8794,147.3294,71.1,63,81,7.76,AU,1611975600
9,Kapaa,22.0752,-159.319,74.97,69,39,16.22,US,1611975600
10,Mnogovershinnyy,53.9353,139.9242,-5.46,92,100,5.3,RU,1611975600
11,Yarim,14.298,44.3779,46.69,73,0,2.44,YE,1611975600
12,Cape Town,-33.9258,18.4232,67.01,80,40,6.11,ZA,1611975600
13,Port Blair,11.6667,92.75,82.56,76,35,9.82,IN,1611975600
14,Avera,33.194,-82.5271,40.5,68,1,4.79,US,1611975600
15,Riyadh,24.6877,46.7219,63.0,26,38,14.83,SA,1611975600
16,Saldanha,-33.0117,17.9442,65.12,87,22,12.03,ZA,1611975600
17,Ribeira Grande,38.5167,-28.7,61.07,82,47,25.21,PT,1611975600
18,Rikitea,-23.1203,-134.9692,80.47,68,45,9.06,PF,1611975600
19,Saskylakh,71.9167,114.0833,-38.6,76,15,2.42,RU,1611975600
20,Mataura,-46.1927,168.8643,69.98,40,18,1.23,NZ,1611975600
21,Puerto Ayora,-0.7393,-90.3518,78.15,89,64,8.46,EC,1611975600
22,Vaini,-21.2,-175.2,79.59,82,95,21.47,TO,1611975600
23,Avarua,-21.2078,-159.775,83.1,73,38,10.0,CK,1611975600
24,Tuatapere,-46.1333,167.6833,65.68,46,2,6.13,NZ,1611975600
25,Bud,39.447,-86.1758,26.58,88,30,6.22,US,1611975600
26,New Norfolk,-42.7826,147.0587,68.11,65,68,7.63,AU,1611975600
27,Chumikan,54.7183,135.315,-11.2,88,100,11.68,RU,1611975600
28,Dekar,-21.5333,21.9333,68.27,86,73,3.56,BW,1611975600
29,Qaanaaq,77.484,-69.3632,-13.36,62,0,5.57,GL,1611975600
30,Buala,-8.145,159.5921,85.55,74,98,13.02,SB,1611975600
31,Atar,20.5169,-13.0499,66.31,26,1,11.41,MR,1611975600
32,Hong Kong,22.2855,114.1577,62.06,68,0,18.43,HK,1611975600
33,Carnarvon,-24.8667,113.6333,97.59,31,1,18.52,AU,1611975600
34,Dikson,73.5069,80.5464,-33.0,84,98,7.94,RU,1611975600
35,Barrow,71.2906,-156.7887,-13.92,83,95,12.5,US,1611975600
36,East London,-33.0153,27.9116,69.87,70,28,2.86,ZA,1611975600
37,Saint-Pierre,-21.3393,55.4781,80.13,68,0,7.0,RE,1611975600
38,Ushuaia,-54.8,-68.3,39.47,80,48,3.04,AR,1611975600
39,Jamestown,42.097,-79.2353,16.7,87,95,7.63,US,1611975600
40,Kaitangata,-46.2817,169.8464,57.38,70,53,7.56,NZ,1611975600
41,Yārāda,17.65,83.2667,76.53,85,39,3.71,IN,1611975600
42,Mulchén,-37.7167,-72.2333,60.04,95,66,1.83,CL,1611975600
43,Bubaque,11.2833,-15.8333,78.31,68,0,8.77,GW,1611975600
44,Cockburn Town,21.4612,-71.1419,72.19,64,41,21.9,TC,1611975600
45,Maţāy,28.419,30.7792,40.93,70,0,1.19,EG,1611975600
46,Prince Rupert,54.3161,-130.3201,34.52,81,95,9.28,CA,1611975600
47,Munkebo,55.4618,10.5558,31.95,90,100,13.85,DK,1611975600
48,Arraial do Cabo,-22.9661,-42.0278,77.58,83,77,25.77,BR,1611975600
49,Pevek,69.7008,170.3133,-29.74,85,10,3.44,RU,1611975600
50,Calama,-22.4667,-68.9333,55.98,26,0,2.33,CL,1611975600
51,Chui,-33.6971,-53.4616,68.58,93,1,1.5,UY,1611975600
52,Khatanga,71.9667,102.5,-43.17,75,0,3.24,RU,1611975600
53,Dingle,10.9995,122.6711,77.11,87,100,17.36,PH,1611975600
54,San Vicente,-26.6167,-54.1333,69.96,96,42,4.99,AR,1611975600
55,Daru,-9.0763,143.2092,78.62,87,100,13.8,PG,1611975600
56,Manokwari,-0.8667,134.0833,83.1,68,95,2.86,ID,1611975600
57,Butaritari,3.0707,172.7902,80.73,77,100,15.86,KI,1611975600
58,Makkah al Mukarramah,21.4267,39.8261,65.16,49,1,9.8,SA,1611975600
59,Sawang Daen Din,17.4753,103.4575,73.54,60,1,7.67,TH,1611975600
